index,id,environment,trial_label,trial_index,sum_latency,key_pressed
672611.0 3.0 12.0,672611.0,high,3.0 12.0,7,2255.0,7
672611.0 4.0 22.0,672611.0,high,4.0 22.0,7,2170.0,7
672611.0 7.0 12.0,672611.0,high,7.0 12.0,7,2017.0,7
672611.0 8.0 22.0,672611.0,high,8.0 22.0,7,1965.0,7
672611.0 11.0 11.0,672611.0,low,11.0 11.0,7,1855.0,7
672611.0 11.0 21.0,672611.0,low,11.0 21.0,7,2028.0,7
672611.0 3.0 11.0,672611.0,low,3.0 11.0,7,2162.0,7
672611.0 4.0 21.0,672611.0,low,4.0 21.0,7,1829.0,7
672611.0 7.0 11.0,672611.0,low,7.0 11.0,7,1895.0,7
672611.0 8.0 21.0,672611.0,low,8.0 21.0,7,1915.0,7
672614.0 11.0 11.0,672614.0,high,11.0 11.0,7,1762.0,7
672614.0 11.0 21.0,672614.0,high,11.0 21.0,6,3088.0,6
672614.0 3.0 11.0,672614.0,high,3.0 11.0,7,1557.0,7
672614.0 4.0 21.0,672614.0,high,4.0 21.0,7,1437.0,7
672614.0 7.0 11.0,672614.0,high,7.0 11.0,6,1992.0,6
